tweet,Annotator 1,Annotator 2,Annotator 3,Annotator 4,Annotator 5
الطفيلة العثور على جثة عشريني معلقة على شجرة انتحار الطفيلة بصيرا الأجهزة الأمنية,1,0,1,1,1
انتحار طفلة فى ال  من عمرها والسبب غسل الصحون الملكة منوعات,0,0,1,1,1
يوميات الانتحار,0,0,0,0,0
الأسبوع حالة اكتئاب وراء انتحار شاب مصر الجديدة,1,0,1,1,1
سياسة طفل فاقت سياسة الكبار نعم الهدف ان الخليج لابد ان يتوحد نعم الهدف أن تعدم الفتنه ومن اثارها نعم الهدف الحب لا الأنتحار أبدعت يا فتى الكويت عمان خليجي,0,0,0,0,0
تيريم يعرض منصبا على لاعب حاول الانتحار,1,0,1,1,1
يمكن منع الانتحار قرابة   الف حالة انتحار تحدث سنويا في العالم كل   ثانية هناك شخص يموت منتحرا منظمة الصحة العالمية,1,1,1,0,0
يمكن منع الانتحار يعتبر ثاني اهم سبب للوفيات عالميا للفئة العمرية     سنة خلال عام   محاولة انتحار سابقة تعتبر أهم سبب للوفاة بسبب الانتحار منظمة الصحة العالمية,1,0,1,0,0
انتحار تاجر فاكهة بعد طلب زوجته الطلاق الدستور,1,0,1,1,1
وحسب اعتراف وسائل الإعلام الحكومية يتم نحو   بالمائة من عمليات الانتحار بطريقة إضرام النار في الجسد وفي الوقت الحالي إيران الرازحة تحت حكم الملالي تحتل الرتبة الأولى في إضرام النار في الجسد بين النساء في الشرق الأوسط صحيفة جهان صنعت يونيو   إيران إنتحار,1,0,1,0,0
بالفيديو مصري حاول الانتحار ثم تراجع وبدأ بالرقص بعد سماع أغنيته المفضلة حماك,0,0,0,0,1
انتحار   شخصا في كرمنشاه الإيرانية بسبب البرد والجوع والزلازل,1,0,1,1,1
العلامة زيد المدخلي فأين أنتم يا دعاة الانتحار باسم الاستشهاد في سبيل الله من طريق تلك الفعلات الشنيعة التي,0,0,0,0,0
اغتصاب التحريات التحقيقات انتحار عاجل,0,0,0,0,1
الفشل الامني والعسكري سيناء سنوات من الصراع في سيناء أثبتت أن الجيش المصري غير قادر حتي علي حماية نفسة فكيف يحمي الشعب يهدد السودان تركيا وهو لايستطيع حسم مجموعات صغيره بتسليح متواضع وفي مساحة جغرافية محدوده من شمال سيناء سيناء اسوار الانتحار ومعبر الموت لجيش الكفته,0,0,0,0,0
الجزائر إنتحار تلميذ بعدما عاقبه والده بسبب النتائج الدراسية,1,1,1,1,1
تعالج منذ سنوات فشلت في الانتحار فاضطرت لإجراء   عملية جراحية ولم تنته بعد,1,0,1,0,1
فواز بن علي المدخلي العلامة زيد المدخلي فأين أنتم يا دعاة الانتحار باسم الاستشهاد,0,0,0,0,0
دراما موت انتحار,0,0,0,0,0
وغير كدا هيساعدك الانتحار في الاخر كله هيموت,0,0,1,1,1
وقد شهد الوطن العربي عددا من عمليات الانتحار في صفوف النساء بينما شوهدت بعضهن بصدد الاستعداد لتحويل جنسهن لأن كل شي ولا فخر نجم التواصل الاجتماعي الجحش,1,0,1,1,0
صورة مريعه لانراة حاولت الانتحار باطلاق النار علي وجهها لتفقد فكها السفلى واسنانها وتلت لسانها عام ٢٠١٠وسكلها بعد ترميم الوجه,1,1,1,1,1
السمنه هي الانتحار بشياكه السمنه هي السبب المباشر للسكر والم المفاصل والعظام والغضروف هي حرمان من الجمال يبقي ليه تدخل نفسك في عمليه وتعرضها للخطر مدام الحل موجود الحل عندي كورس  بيناسب جميع حالات السمنه وبينقص الوزن ٣٠يوم من غير اعراض جانبيه للتواصل خاص,0,0,0,0,0
عندي قناعتين عن الشخص المنتحر أنه مش شخص يائس أو بيكره الحياة بالعكس هو من كتر حبه وتوقعاته منها والخذلان والأحباط اللي شافه منها كسره كسرة محدش ممكن يتفهمه هو شخص جرئ جدا جدا قوي جدا جدا ومفيش شخص ضعيف يقدر يقدم علي الإنتحار,1,1,1,0,0
شاب ينتحر بسبب ما فعلته مع أسرته ورسالته قبل الانتحار بدقائق أنا رايح لربنا يجيبلي حقي صور,1,1,1,1,1
مش مهم الانتحار المهم آيه منعو مين الشيطان ابن الكلب الي منعون,0,0,1,0,0
يمدحون الانتحار شنقا,1,0,1,1,0
السنادي من اصعب السنين ومن أكتر الفترات اللي تغيرت فيها وتاني أكتر سنة فكرة الموت الانتحار ملزماني بقت وسواس بس,1,1,1,1,1
كان هناك رجل ينوي الانتحار صعد إلى أعلى صخرة عملاقة ثم ربط حبلا بعنقه وربطه بالصخرة وتناول قليلا من,1,1,1,1,1
في أغسطس الماضي أقدم شاب عشريني يدعى أدهم على الانتحار شنقا ربط حبل في سقف حجرته بعد اكتشاف إصابته بفيروس سي بقرية ترسا بمركز سنورس في الفيوم,1,1,1,1,1
في مطلع ديسمبر الماضي بسبب ضغط المذاكرة والمشادات التي تحدث بين الأباء وأولادهم أقدمت تلميذة بالصف الأول الثانوي على الانتحار شنقا بحبل غسيل في غرفة أعلى سطح عفار المنزل بمنطقة حلوان نتيجة معايرة والدتها وإهانتها بصوت مرتفع بسبب المذاكرة ومشاهدتها للمسلسلات التركية,1,1,1,1,1
استمرار حالات الانتحار بسبب لعبة الحوت الأزرق,1,0,1,1,1
هل تعلمون ان عدد نصف مليون في العالم يموتون بسبب الانتحار ٣٠ الف منهم في امريكا عدد كبييير جدا اللهم لك الحمد على نعمة الإسلام,1,0,1,0,0
وردة تحاول الانتحار بعد فسخ خطبتها في الدقهلية,1,0,1,1,1
مش شايفه قدمي حل غير الانتحار منه لله عبفتاح السيسى جنن الناس ارجع عن الى دماغك دا,1,0,1,1,1
وردة تحاول الانتحار بعد فسخ خطبتها في الدقهلية حاولت الفتاة التي تبلغ من العمر سبعة عشر عاما الانتحار بعد أن تم فسخ خطبتها في محافظة الدقهلية دون تدخل بشري مع تحيات محمد شوقي سلامة,1,0,1,1,1
وردة تحاول الانتحار بعد فسخ خطبتها,1,0,1,1,1
الحوت الازرق لعبة تؤدي الى الانتحار بالفيديو الكون نيوز الاردن,1,0,1,1,0
محاولة انتحار شاب في مادبا الكون نيوز الاردن,1,0,1,1,1
احبها لا حب بعدها اعشقه لا عشق بعده اختلاف كره تنافر ابتعاد الغيره مجتمع زرع في داخله مفهوم الغيره الغيره المبالغ بها الغيره التي ابادت ارتباط اغار انا كيف تغار من اي اسلوب تغار الغيره مفهوم انهى مسيرة اسر الغيره الممتزجه بالشك المبالغ به انتحار خلط,0,0,0,0,0
برب انتحار,0,0,0,0,1
عثر عليه زملاؤه معلقا انتحار عامل شنقا داخل ورشة ملكان,1,1,1,1,1
من تجي معي عشان نسوي انتحار جماعي,1,0,1,1,1
انتحار فتاة بجرعة دواء زائدة بعد فسخ خطوبتها فى الدقهلية,1,0,1,1,1
اين أوصل إبليس الإنسان البعيد عن الله من القتل الرحيم الى الانتحار الى الإجهاض الى المثلية الجنسية الى الإرهاب,0,0,0,1,0
عم كل افتح تويتر ولا فيس الاقي حاجة منك الانتحار عم داهية,0,0,1,0,0
الروائي عندما يكتب مشهدا روائيا عليه أن يترك مساحة لخيال المخرج السينمائي وألا يفعل كما فعل تولستوي في مشهد انتحار آنا كارنينا فهو لم يترك لأي مخرج سينمائي مساحة من التخيل سواء على مستوى الحالة البصرية أو حتى التفاصيل النفسية كان تولستوي في ذلك المشهد كل السرد كل السينما,0,0,0,0,0
ذي قار تنهي عامها   حالة انتحار,0,0,1,0,1
تصطاد بالماء العكر تبحث عن قبلة العناق وانا ممسك عنها حتى انتحار الغروب في اهواء الليل حبايبنا اصالة حرف رضاب الحرف حروف البنفسج,0,0,0,0,0
ويب طب حالات انتحار جديدة في الجزائر بسبب لعبة الحوت الأزرق تعرف على اللعبة وعلى مخاطرها,1,0,1,1,1
اكتشاف مخبأ سري من هتلر خبأ كنزا لا يصدق قبل الانتحار عبر,0,0,0,1,1
قناة آسيا كوردستان انتحار اكثر من   رجلا وقتل على أيدي زوجاتهم,1,0,1,1,1
تزايد حالات الإنتحار في العراق خلال عام   الناصرية   بغداد   كربلاء   الديوانية   بابل   صلاح الدين البصرة ميسان كردستان   الأرقام مرعبة الأرقام مرعبة,1,1,1,0,0
كده الشاب عمره ما هيفكر فى الجواز ده لو بقى قادر على الجواز بالتالى التحرش الاغتصاب الانتحار هيزيدوا يا ولاد الوسخه يا سفهاء,0,0,0,0,0
عاجل الأمن يحذر الأهالي من ألعاب إلكترونية تستدرج أبنائهم نحو الانتحار,1,0,1,1,0
إنتحار   رجلا في كردستان ومقتل خمسة آخرين على يد زوجاتهم,1,1,1,1,1
إنتحار   رجلا ومقتل خمسة آخرين على يد زوجاتهم شمال العراق,1,1,1,1,1
رؤيا الإخباري عاجل الأمن يحذر الأهالي من ألعاب إلكترونية تستدرج أبنائهم نحو الانتحار,1,0,1,1,0
الاردن تحذير جديد من ألعاب إلكترونية تستدرج الأطفال نحو الانتحار,1,0,1,1,0
انتحار بطيء لأجل اطفالك لأجل عائلتك اترك التدخين شارك للفائدة,0,0,0,0,0
انتحار   وقتل اشخاص على ايدي زوجاتهم في كردستان,1,0,1,1,1
الأمن يحذر الأهالي من ألعاب إلكترونية تستدرج أبنائهم نحو الانتحار,1,0,1,1,0
كارثة طبية نفسية من كل   سيدات يعانين من الإكتئاب والسودان الأول عربيا في معدل الانتحار,1,0,1,1,1
قناة السومرية إنتحار   رجلا في كردستان ومقتل خمسة آخرين على يد زوجاتهم عبر نبض,1,1,1,1,1
محاولة شاب الانتحار جامعة دمنهور,1,0,1,1,1
٢٠١٧ عام الانتحار,1,0,1,0,0
الامن العام يحذر من لعبة أطفال تستدرجهم نحو ايذاء النفس او الانتحار,1,0,1,1,0
ايش اسوء حاجة في الانتحار بعيدا عن الدين وجدل حكمه الا الانتحار قرار جميل قرار عدم إحتمال دناءة الحياة وقرار,1,0,1,1,1
وده واحد بيشجع نفسه على الانتحار,0,0,1,1,1
الجزائر إنتحار تلميذ داخل غرفته بحي سيدي عاشور بعنابة,1,1,1,1,1
انتحار أم جريمة قتل,1,0,0,0,0
لاتشجع على الانتحار كخطة بديلة أخي قد يفعلها وتفعلها بل أنا جاد كل الجد وأنا لاأحترم أسلوب الترهيب بل العرض,1,0,1,0,0
احصائية إنتحار   رجلا ومقتل خمسة آخرين على يد زوجاتهم شمال العراق,1,1,1,1,1
منتحرتش ليه لحد دلوقتي عشان الانتحار حرام فقط لا غير,1,0,1,1,0
جنائي أجدابيا يكشف أسباب الانتحار بالمدينة خلال العام,1,0,1,0,1
ذي قار تسجل حالة انتحار شنقا لموظف بدائرة صحة ذي قار بناحية الكرمه وللمزيد من التفاصيل اضغط للقراءة,1,0,1,0,1
بالفديو فتاة ناجية من الانتحار تروي قصة حياتها بالدموع شاهد السبب الذي جعلها تقدم على الانتحار,1,0,1,1,1
يشهد إنتحار   رجلا شمال العراق وام,1,1,1,1,1
معدلات الانتحار حول العالم الون الرمادى معناة مفيش بيانات مجمعة عن الموضوع البلاد دى,1,0,1,0,0
رسالة بحر مع أداة إنتحار اذا لزم أمر القارئ,1,1,0,0,0
انتحار بدون ألم,1,0,0,1,1
النظام الايراني ظالم شعبه بسبب الفقر والفساد الإيرانيون يهربون من جحيم السلطة الانتحار,1,0,0,1,0
الشعب اليمني عيرجع يطير مثل من يحلق شعره شهدا غارات جوع انتحار هروب للخارج,0,0,0,1,0
النظام الايراني ظالم شعبه شعب ايران من تاثير الفقر والظلم والاظطهاد يقدمون على الانتحار من الحياه المأساويه التي يعشونهت,1,0,0,1,0
ذي قار تسجل أكثر من   حالة انتحار بين فئة الشباب خلال عام,1,0,1,0,1
إن شاء الله يكون أخوك أحسن مني من أنا حتى تقيسي علي والله يوفقه أذكر أني حين قرأت أن الفيلسوف الرياضي برتراند راسل فكر في الإنتحار في شبابه ولم يصده سوى شغفه بالرياضيات ورغبته في أن يزداد معرفة بها عندها رميت الكتاب وصببت على راسل اللعنات في سري وجهري,0,0,0,0,0
انتحار جماعي,1,0,0,1,1
أنباء عن انتحار مئات اليابانيين عند رؤيتهم إلى هذا الاختراع هالله حيهم,0,0,0,0,1
حلوميين انتحار جماعي,1,0,0,0,1
شاهد شاب عراقي يقتل شقيقته التي كانت تحاول منعه من الانتحار في ذي قار,0,0,1,1,1
أعجبني فيديو على أغرب حالات إنتحار الحيوانات فى العالم,0,1,0,0,0
انتحار عالم نووي كوري شمالي منشق بعد استعادته من الصين,1,0,1,1,1
شاهد فتاة عراقية ناجية من الانتحار تروي قصة حياتها بالدموع,1,0,1,0,1
انتحار تلميذ شنقا بحزام سرواله في عنابة,1,1,1,1,1
ما هي خططك لعام   معرفه كيفيه الانتحار بالحلال,0,0,0,1,1
تحرض على الانتحار لا لا لا,0,0,0,0,0
الزوي يعلن انتحار ارهابي بعد فراره من اخريبيش ببنغازي,1,0,1,0,1
أخبارليبيا  ليبيا بنغازي القوارشة تفجير الانتحار إرهاب,1,0,0,0,0
انتحار داخلى,1,0,0,1,0
يا اداره الاهلي التفريط في المسيليم انتحار لن يرضاه جمهور الملكي,0,0,0,0,0
شو بتعملو عشان تتخلصو من الامساك الانتحار,0,0,0,0,0
صدمت حزنت تفاجأت من اقدام شبكة على الانتحار بهذه الطريقة الغبية الفجة فما اعلنت عنه الشبكة هذه الليلة من تغيير للباقات وزيادة جنونية وغير قابلة للتصديق في الاسعار هو انتحار مستعجل ملاحظة انا الغيت اشتراكي رغم محاولات الشبكة وعرضها بعدم رفع السعر,0,0,0,0,0
ع قيد الإكتئاب وهناك علامات تقول انتى قاربت على مشارف الانتحار,1,0,1,1,1
رسميا رفع اسعار البنزين انتحار,0,0,0,0,0
نفر من الجن أيمن العتوم ما تخبئه لنا النجوم جون غرين ولتصنع على عيني محمد الغرام يسمعون حسيسها أيمن العتوم الانتحار بالشوكلاته اسماعيل الحاج كن لنفسك كل شي عمار الشمري ولنا في الحياة حياة اسماء الفاضل شيفرة بلال احمد العمري الخيميائي باولو كويلو,0,0,0,0,0
الانتحار,1,0,1,1,1
اتمنالك السنه دي تبقي حلوه ومبسوطه ومتفكريش في الانتحار تاني,0,0,1,1,1
غياهب الكيان       ظاهرة الانتحار في الكيان حسن حجازي عبد الستار قاسم العالم,0,0,0,0,0
انتحار,1,0,1,1,1
أثار لوغان بول ردة فعل قوية إثر نشره مقطع فيديو بغابة فى اليابان يقال أنها مسكونة لأحد الأشخاص كان ينتحر وشنق نفسه لوغان بول غابة جثه منتحر,1,0,1,0,1
السائق قاتل والمدعوس منتحر هلكونا تجمعات مخدرات وشذوذ,0,1,0,0,1
مات منتحر ولا جريمة وين المحقق كونان يتحفنا,0,1,0,0,1
انتحار باكستاني في الحرم المكي امس منتحر,1,1,1,1,1
بالفيديو الكشف عن تفاصيل جديدة في واقعة منتحر الحرم الحرم المكي خالد الغامدي منتحر منتحر الحرم,1,1,1,1,1
شبيه منتحر صحن المطاف اللذي سلم على الشيخ الغامدي يخرج عن صمته ويعلق أنا حي أرزق,1,1,1,0,1
الروح عزيزة مهما كان العزيز اللي خسرته فإذا انت منت كفو الانتحار لا تصجنا منتحر همس لي,1,1,1,0,0
رسالة من منتحر لم أبدأ رسالتي كباقي رسائل العالم ولم تكن هذه الرسالة وصية لأنني لا أملك شيء ليكون وصية في حياتي البائسة ولكنني كتبتها لربما يراها أو يقرأها أحد أنا الأن ملطخ بالدماء أكتب وكأنني أحفر,1,1,1,1,0
اقولها والعلم لأهل العلم ان تستحدث فتوى ان المغامر بنفسه في مجرى السيول منتحر ويجب تجريم هذه الأفعال لإزهاق الأنفس,0,1,0,0,0
واقفه على طوفة السطح سأنتحر,1,1,1,1,1
هل يكفي الأسلوب الديني فقط في إرجاع المقبل على الانتحار عن فكرته صحة نفسية,1,0,1,0,0
الجالية الهندية تدشن خطا ساخنا لمواجهة الانتحار الشارقة للإخبار رأس الخيمة الإمارات,1,0,1,0,0
فنانة قديرة تصدم الجميع بمذكراتها أردت الانتحار للتخلص من استغلال زوجي,1,0,1,1,1
بالفيديو انقاذ شاب حاول الانتحار السعودية,1,0,1,0,1
بعد تعرضه لواقعة ابتزاز الامارات الانتحار,1,0,0,1,1
انتحار مراهق الخبر والدته تروي التفاصيل الانتحار الخبر,1,0,1,1,1
نصائح هامة قد تنقذ حياة الرابط البديل الصحة النفسية الانتحار,0,0,1,0,0
الانتحار عن أبي هريرة رضي الله عنه عن النبي صلى الله عليه وسلم قال من تردى من جبل فقتل نفسه فهو في نار جهنم يتردى فيه خالدا مخلدا فيها أبدا ومن تحسى سما فقتل نفسه فسمه في يده يتحساه في نار,1,1,1,0,0
انتحار حزن اسود ابيض اسود عراقي تصميم فولو كومنت,0,0,0,0,0
شاهد أكثر الأخبار متابعة اليوم ياباني يجوب الغابة لثني الراغبين بالانتحار عن قرارهم الانتحار,1,0,1,0,0
عاجل الامن يحاول ثني شخص عن الانتحار على الدوار الخامس في العاصمة عمان الوقائع الوقائع الاخبارية الاردن انتحار,1,0,1,0,1
من ال بلوك الى الانتحار,1,0,0,1,0
مصور تونسي يضرم النار في جسده أمام الناس لهذا السبب السوسنة اخبار تونس انتحار,1,1,1,1,1
عاجل شاهد بالفيديو لحضة انتحار,1,0,1,0,1
الاضطراب الوجداني ثنائي القطب ليس مرضا نادرا وليس شيئا يمكنك الاستهانة به مراحل متناوبة من الابتهاج غير الطبيعي الهوس الاكتئاب الشديد الذي قد يؤدي إلى الانتحار رحلة خلال عقل مريض باي بولار تقرأ تفاصيلها مع منشور,1,0,1,1,1
انتحار الموت,1,0,0,0,0
شهدت منطقتا القصرين جبنيانة في تونس مساء الاثنين اشتباكات عنيفة بين قوات الأمن ومحتجين على خلفية انتحار مصور صحفي تونسي بحرق جسده أخبار الآن,1,1,1,1,1
شاهد مقدم برنامج إذاعي ينقذ شابا من الانتحار على الهواء بريطانيا,1,0,1,1,1
إثر انتحار الصحفي زرقي إصابات واعتقالات في صفوف متظاهرين في تونس تونس انتحار صحفي مظاهرات القصرين,1,0,1,0,1
شابتان حاولتا الإنتحار في لبنان إحداهما بسبب خطيبها,1,1,1,1,1
سليمان الحبيب علاج نفسي اكتئاب انتحار غثيان ترجيع مستشفى شهار,0,0,0,0,0
معدل الإنتحار حول العالم إنخفض   منذ العام   في الولايات المتحدة إرتفع   النتيجة إنقاذ   إنسان الرقم الصادم   ألف يقدمون على الإنتحار سنويا,1,1,1,0,0
عاجل انتحار شاب الحدائق رمى نفسه من سطح عمارة وتعلق بمنشر غسيل,1,,1,1,1
سينما مارلين مونرو انتحار هوليوود فاطمة حوحو,1,0,0,0,1
بالفيديو ممثلة عربية تنهار بالبكاء بسبب نشر مشاهدها الجريئة على موقع إباحي ماذا عن محاولتها الانتحار,0,0,1,1,1
يخرب بيت أم دة سلفى سلفى اااايه دة دة أنتحار,0,0,0,0,0
كشفت دراسة جديدة في السويد عن أن حالات الانتحار تزداد في ليلة رأس السنة إلى الضعف وربطت الدراسة بين هذه الظاهرة والإفراط في شرب الخمر,1,0,1,1,1
دراسة عقاقير ما بعد الصدمة قد تؤدي إلى الإنتحار أخبار الآن دبي الإمارات العربية المتحدة صحف خلصنت نتائج دراسة امريكية حديثة أعدها الدكتور فوكن ماكول رئيس قسم الطب النفسى والسلوك الصحى فى كلية الطب,1,1,1,1,1
وجع حب جنون عشق ضياع هدوء وحده ظلم خنقه خوف ذكريات وانت ليل وحدة اصدقاء اكتئاب انتحر انتحار جرح قهر حزن غياب وجع فراق دموع خذلان صدمة,0,1,0,0,0
ددفيديو محاولة انتحار في بودواو بومرداس,1,0,1,0,1
انتحار الي قلبه ضعيف لا يشوفه,1,0,1,0,1
حصاد   الأسود مصر وصلت للمرتبة   عالميا في معدلات الانتحار,1,0,1,0,1
فئة الشباب تعيش في مساحة المتر المربع الضيق الواقع بين فكرة الانتحار انتحار الفكرة الموضوع مرعب ولا يمكن للسخرية ان تتسرب من مساماته انا اكتب الآن فربما اصابت رسالتي احدا يفكر حقا بالانتحار يا صديقي,1,0,1,0,1
شاهد شاب جزائري يحاول الانتحار من فوق عربة ترامواي بالعاصمة,1,0,1,1,1
وقت الانتحار,0,0,0,1,0
شاهد حتى الانتحار ما تحمله,0,0,1,0,0
هذا الحساب كل ما احد انتقده يصر على غباءه ويجيب دراسات من الكيس بتقنعني ان طفل عمره سنوات يعرف الانتحار,0,0,1,0,0
أحد المتقاعدين يحاول حرق نفسه في محيط النيابة العامة بالعاصمة طهران خلال تظاهرات اليوم والمواطنون يهرعون لنجدته يجب على المواطنين الوقوف ضد الحكومة الظالمة وليس الانتحار فهو ليس سبيل النجاة,1,1,1,1,1
ألا يغريك أنني لا أفكر إلا في حضنك أو الإنتحار,0,,0,0,0
شاهد حتى الإنتحار ما تحمله,0,1,1,0,0
حصاد   الأسود الفقر والبطالة الجوع وانتشار الأمراض الانتحار للهروب من الظلم,1,0,0,1,0
مش مهم مين فكري في الثواب اللي هتاخديه انك هتحمي حد من الانتحار ونتصاحب بمعني نتصاحب مش نرتبط للدرجادي لا أنا اتأثرت حقيقي بس من حقي أعرف هصاحب مش هرتبط بمين بردو,0,0,0,0,0
في النهاية تكون أمام خيارين إما طلب المساعدة أو الانتحار,0,0,1,1,0
انتحار سائح أمريكي بإلقاء نفسه في مياه النيل,1,1,1,1,1
اخرحالة انتحار في السسسنة,1,0,1,1,1
أشرف ريفي إيران تتخذ لبنان ورقة للمساومة الاستسلام لتعطيل حزب الله هو بمثابة انتحار وطني,0,0,0,0,0
انتحار آخر الليلة عزيزي السيلبابي الحضرامي ينتحر فالف مليون مبروك له لضحيته ورزقهما الله ذرية طيبة إنه سميع مجيب الدعاء,0,0,0,0,0
أخر حالة إنتحار في أخر يوم من السنه,1,1,1,0,1
عملية انتحار والعياذبالله,1,0,1,0,1
اول حالة انتحار في العام الجديد السنه الجديده,1,0,1,0,1
سبع ساعات بشكل يومي شغل متواصل باقي عليي نص الشغل تقريبا انتحار,0,0,0,0,0
الاحتجاجات تزداد في الضفة والسلطة ماضية في طريق الانتحار بقلم ياسين عز الدين,0,0,0,0,0
السنه الجديده   متى تفهم العالم إن الانتحار حرام,1,0,1,0,0
أول حالة إنتحار في اول يوم من سنه   السنه الجديده,1,,1,0,1
قوم انتحار بس نیست جنایت,0,0,0,0,0
الإصرار على الإنتحار,1,,1,1,1
الرئيس التونسي يعلق لأول مرة على انتحار المصور عبدالرزاق زرقي ويصمت عن الترشح,1,0,1,0,1
لم يعد في وسعي التحمل أعطني البندقية آه ماذا ستفعل ألانتحار خطيئة أي انتحار ايها الابله سوف أقتل الجميع دوستوفسكي,0,0,0,0,0
بفكر جديا فى الانتحار,0,0,1,1,1
لا أحمل آمالا كبرى لهذا البلد التعس أعتقد أنه يحمل جينات انتحار أو فشل فى خلاياه ولا أحد يستطيع الاستقلال عن جيناته لا أحد يفر من القدر المدون فى خلاياه لا أطلب من هذا البلد سوى ألا يعتقلنى وأن أظل حيا وآكل وأتنفس وأقبض راتبى احمد خالد توفيق,0,0,0,0,0
فاشل حتى في الانتحار,0,0,1,0,0
لاحول ولا قوه الا بالله باسباب الحوت الازرق انتحار بحفر الباطن,1,0,1,1,1
فيديو مروع يوثق لحظة انتحار وافد بالكويت,1,0,1,0,1
اخر عملية انتحار تمت اليوم لعام,1,0,1,0,1
انتحار في العام الجديد العام الجديد,1,0,1,0,1
هذا اللي يقول فورتنايت تسبب انتحار,1,0,0,0,0
نویسنده رضا علوی تحول وتعامل اقتصادی که اهميت آن كمتر برجسته شده است پنج عامل تاثیر گذار بر ثبات وخودکفایی انتحار وانفجار بحران دود وخاكستر وفضاى نفرت مجال آنرا كمتر داد تا توجه مردم افغانستان,0,0,0,0,0
منتحر ليس يدري أي الأمرين احلى سعيه نحو حتفه أم رجوعه متعب طال عمره وشقاه وتمادت جراحه ودموعه حين لم يستطع بلوغ مناه مات والموت كل ما يستطيعه البردوني,1,1,1,0,1
المهم مساء منتحر الرياض,1,1,1,0,1
منتحر ليه يبغا ينتحر,1,1,1,0,0
اول مره بحزن على منتحر قال ومؤذن قدم طلب لوزارة الأوقاف وحتى الآن لم يقبل للأسف الله يعين الناس حال كثيرين لكن الكثيرين يسكنهم حسن الظن بالله فصابرين على البلاء,1,1,1,0,1
إقرأ قصة سيف رجل مثلي منتحر   سنة الرابط چیرۆکی سەیف بخوێنەرەوە کوڕێکی هاوڕەگەزخوازی قوربانیی خۆکوشتن   ساڵ لینک,0,1,0,0,1
إقرأ قصة غادة أم رجل مثلي منتحر الرابط چیرۆکی غەدا بخوێنەرەوە دايكى كوڕێکی هاوڕەگەخواز کە خۆی کوشتووە لینک,0,1,0,0,1
ساختفي قريبا واعود لقبري امي لن اخرج منه مجددا لن ادع احد يخرجني سأنتحر هناك ما بين صخور قلب امي,0,1,0,1,0
رسالة عتاب تركها منتحر كان يكفيني أن تشعر بي ولكنك لم تفعل حبل غسيل,1,1,1,0,1
